drift_threshold,authorship_margin,uncorroborated_weight,suspicious,ramp_width,precision,recall,f1,fpr,tp,fp,fn,tn,hn_fpr,malicious_precision
0.2,0.05,1.0,0.7,0.2,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.05,1.0,0.7,0.3,0.0,0.0,0.0,0.1379,0,8,17,50,0.5556,0.0
0.2,0.1,0.2,0.3,0.1,0.75,0.5294,0.6207,0.0517,9,3,8,55,0.0,0.0
0.2,0.1,0.2,0.3,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.2,0.3,0.3,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.2,0.4,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.2,0.4,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.2,0.4,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.1,0.2,0.5,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.2,0.5,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.2,0.5,0.3,0.75,0.3529,0.48,0.0345,6,2,11,56,0.0,0.0
0.2,0.1,0.2,0.6,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.2,0.6,0.2,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.1,0.2,0.6,0.3,1.0,0.1176,0.2105,0.0,2,0,15,58,0.0,0.0
0.2,0.1,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.2,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.2,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.35,0.3,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.1,0.35,0.3,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.35,0.3,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.35,0.4,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.35,0.4,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.35,0.4,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.1,0.35,0.5,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.35,0.5,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.35,0.5,0.3,0.75,0.3529,0.48,0.0345,6,2,11,56,0.0,0.0
0.2,0.1,0.35,0.6,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.35,0.6,0.2,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.1,0.35,0.6,0.3,1.0,0.1176,0.2105,0.0,2,0,15,58,0.0,0.0
0.2,0.1,0.35,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.35,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.35,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.45,0.3,0.1,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.1,0.45,0.3,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.45,0.3,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.45,0.4,0.1,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.45,0.4,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.45,0.4,0.3,0.4444,0.4706,0.4571,0.1724,8,10,9,48,0.5556,0.0
0.2,0.1,0.45,0.5,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.45,0.5,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.45,0.5,0.3,0.75,0.3529,0.48,0.0345,6,2,11,56,0.0,0.0
0.2,0.1,0.45,0.6,0.1,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.1,0.45,0.6,0.2,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.1,0.45,0.6,0.3,1.0,0.1176,0.2105,0.0,2,0,15,58,0.0,0.0
0.2,0.1,0.45,0.7,0.1,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.45,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.45,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.1,0.6,0.3,0.1,0.4091,0.5294,0.4615,0.2241,9,13,8,45,0.5556,0.0
0.2,0.1,0.6,0.3,0.2,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.1,0.6,0.3,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.1,0.6,0.4,0.1,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.6,0.4,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.6,0.4,0.3,0.4444,0.4706,0.4571,0.1724,8,10,9,48,0.5556,0.0
0.2,0.1,0.6,0.5,0.1,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.6,0.5,0.2,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.1,0.6,0.5,0.3,0.375,0.3529,0.3636,0.1724,6,10,11,48,0.5556,0.0
